seq_1	seq_2	seq_3	seq_4	seq_5	seq_6	seq_7	seq_8	seq_9	seq_10	seq_11	seq_12	seq_13	seq_14	seq_15	seq_16	seq_17	seq_18	seq_19	seq_20	seq_21
cycle28.2	12900	9069	7707	5676	4556	4892	2885	5089	2195	2765	1003	972	811	208	59	0	0	2	0	0	0
cycle28.3	9542	6690	5842	4052	3624	3530	2244	4258	1640	1821	776	720	618	195	0	0	0	0	0	0	0
cycle29.1	10510	8137	6392	4231	4215	3924	2770	4164	1721	2496	968	771	694	190	0	0	0	0	0	0	0
cycle29.2	12557	9739	8413	5915	4785	3674	3216	5361	2231	3207	992	989	867	215	54	0	0	0	0	0	0
cycle29.3	15359	11353	9372	6399	6082	5776	3532	6400	2422	3880	1343	1161	1062	256	0	0	0	0	0	0	0
cycle30.1	7753	6922	5019	3603	3701	3406	2029	2067	1470	1684	846	610	544	134	0	0	0	0	0	0	0
cycle30.2	7656	8755	6278	4160	4625	4310	2524	2806	2131	2237	1020	744	646	216	0	0	0	0	0	0	0
cycle30.3	11888	9277	7887	6166	5033	4652	3017	3165	2303	2419	1046	991	825	245	0	0	9	0	0	0	0
cycle31.1	11837	9243	7453	5123	4645	4446	2926	2852	1864	2324	1004	899	746	190	0	0	0	2	0	0	0
cycle31.2	10889	7939	6603	3422	3847	4186	2576	1588	1416	1821	843	804	694	123	0	0	85	0	0	0	2
cycle31.3	7530	8241	6392	2789	4246	3917	2637	1592	1458	2015	925	792	699	157	0	0	0	0	0	0	0
cycle32.1	17009	13092	11200	6625	7136	6452	4125	2819	2470	2977	1610	1321	1206	243	0	0	7	0	0	0	0
cycle32.2	11042	7682	5877	3838	4146	3614	2618	1497	1457	1656	905	712	640	131	0	0	0	0	0	0	0
cycle32.3	6473	4646	4021	1942	2322	2401	1777	754	824	939	488	496	413	78	0	0	0	0	0	0	0
cycle33.1	10857	7733	6608	4104	4440	4349	2509	3449	1739	2493	940	806	738	195	0	0	0	0	0	0	0
cycle33.2	6401	8134	6017	2763	4296	4057	1909	3258	1686	2584	935	822	666	147	0	0	0	3	0	0	0
cycle33.3	9734	7013	6105	3794	3844	3795	2232	2980	1616	2044	861	720	630	168	0	0	0	0	0	0	0
cycle34.1	10657	7916	6750	4893	4361	4127	2500	2737	1962	1938	980	817	737	181	0	0	7	0	0	0	0
cycle34.2	8664	6918	5578	3870	3477	3282	2001	1774	1286	1776	761	702	550	142	0	0	0	0	0	0	0
cycle34.3	9655	7152	6195	4638	3892	3604	2276	2497	1862	1796	857	786	681	169	0	0	0	0	0	0	0
cycle35.1	9553	7467	6032	5273	4009	3603	2270	3155	1937	1672	957	768	579	185	44	0	4	0	0	0	0
cycle35.2	8423	6540	5397	4162	3590	3379	1996	2672	1606	1715	794	672	593	145	0	0	0	3	0	0	0
cycle35.3	10154	7766	6108	5514	3611	3788	2319	3778	1619	2027	790	773	590	170	0	0	0	2	0	0	0
mix1.1	4240	9543	581	1508	4439	1071	2855	2084	1460	1105	1013	62	64	79	0	0	0	0	0	0	0
mix1.2	6831	13550	1321	1962	5689	1698	4936	1978	1669	1805	1238	176	131	79	0	0	0	0	0	0	0
mix1.3	5653	11776	1004	1911	4835	1150	3896	2060	1730	1544	1010	126	104	88	0	0	0	0	0	0	0
mix10.1	6618	2002	1529	12323	4397	2884	5708	471	411	1814	894	181	162	108	0	0	0	0	0	0	0
mix10.2	5516	1690	1348	11286	3519	2238	4747	343	321	1587	754	165	130	96	0	0	0	0	0	0	0
mix10.3	7281	2165	1654	13178	4438	2910	6164	493	438	2431	959	236	171	107	0	0	0	0	0	0	0
mix2.1	5778	9620	10398	5902	2359	1370	1409	1314	767	1539	540	1304	1082	85	0	0	0	4	4	0	0
mix2.2	6573	10444	11051	6757	2327	1186	1506	1125	783	1621	489	1340	1154	106	0	0	0	0	0	0	0
mix2.3	6566	10348	8449	6616	2531	1261	1567	1114	745	1488	578	1031	925	119	0	0	0	0	0	0	0
mix3.1	6571	9082	1531	8831	1425	1091	823	2473	440	2595	313	192	173	109	0	0	0	0	0	0	0
mix3.2	7243	9781	2345	11030	1734	1524	919	1941	570	1639	422	287	248	139	0	0	0	0	0	0	0
mix3.3	5115	7255	1814	7757	1271	977	690	2547	525	1957	274	220	192	89	0	0	0	0	0	0	0
mix4.1	8415	9195	3434	3908	4989	1031	362	1799	735	290	1110	406	334	115	0	0	0	0	0	0	0
mix4.2	9940	11072	4125	4069	5200	977	425	1718	841	337	1139	530	422	106	0	0	0	0	0	0	0
mix4.3	10150	12031	4365	4351	6122	1131	451	2129	985	470	1267	556	492	115	0	0	0	0	0	0	0
mix5.1	32023	2620	2315	1280	3448	5450	985	2969	967	785	723	288	246	346	74	0	0	0	0	0	0
mix5.2	26163	2179	2033	1090	2768	4281	830	2804	858	759	621	260	202	315	77	0	0	0	0	0	0
mix5.3	30462	2535	2148	1261	2944	4840	874	4256	932	912	593	268	217	292	74	0	0	0	0	0	0
mix6.1	6124	2175	6962	3555	534	5039	2086	1989	2037	490	120	901	763	157	0	0	0	3	0	0	0
mix6.2	9271	2291	7906	4587	454	5606	2284	1796	2047	417	88	1013	856	150	0	0	0	4	0	0	0
mix6.3	6837	1698	6291	3073	361	4060	1743	1308	1312	478	96	805	692	88	0	0	0	0	0	0	0
mix7.1	11651	2383	5622	1029	3863	5066	5718	3192	1460	1465	791	749	571	111	0	0	0	0	0	0	0
mix7.2	10555	2215	5190	1297	3699	4551	5198	4418	1806	1584	769	658	528	134	0	712	0	0	0	0	0
mix7.3	9012	1936	4520	908	2713	4323	4363	3056	1286	1421	605	533	468	117	0	0	0	0	0	0	0
mix8.1	12089	9442	1253	1736	2179	2686	1936	1254	914	2445	484	158	119	181	49	0	0	0	0	0	0
mix8.2	15125	10614	1314	2009	2783	2890	2061	1482	1040	2853	562	166	153	168	54	0	0	0	0	0	0
mix8.3	12972	8649	1166	1800	2555	2984	1832	1095	876	1273	528	159	111	166	0	0	0	0	0	0	0
mix9.1	15355	9701	1205	775	3282	6792	1958	720	382	412	725	172	140	240	65	0	0	0	0	0	0
mix9.2	13961	9162	1101	715	2650	5725	1876	1060	268	742	550	124	116	170	0	0	0	0	0	0	0
mix9.3	15151	10155	1258	685	2632	6121	2212	965	269	852	551	137	146	172	0	0	0	0	0	0	0
